algo,seed,dim,lr,bitrate,rnn_no_crf_ner,compress_type,space,la_sst_no_emb_norm,la_mr_no_emb_norm,la_subj_no_emb_norm,la_mpqa_no_emb_norm,rnn_no_crf_ner_quality,la_sst_quality_no_emb_norm,la_mr_quality_no_emb_norm,la_subj_quality_no_emb_norm,la_mpqa_quality_no_emb_norm,anchor_eigen_overlap_3.0_top_10000,knn_top_10000_nquery_1000_nn_5,sem_disp_top_10000,pip_top_10000,eigen_overlap_top_10000
ft_sg,1234,25,0.05,1,11.821992110453648,uniform,25,16.91378363536519,16.026241799437678,9.799999999999997,9.519321394910463,68.86,66.1724,62.51169999999999,84.39999999999999,73.1385,0.03194440180079388,0.22979999999999942,0.09568431992324981,9352.808021480409,0.7536521310746658
ft_sg,1235,25,0.05,1,12.51232741617357,uniform,25,15.485996705107086,14.71415182755389,8.799999999999997,8.01131008482564,67.4,64.4701,62.9803,82.4,71.44200000000001,0.029481517542562424,0.2561999999999989,0.0843487961597667,8937.414938849643,0.7710569846214871
ft_sg,1236,25,0.05,1,9.146942800788954,uniform,25,12.959912136188912,13.589503280224935,10.799999999999999,6.597549481621112,66.81,64.0308,60.075,83.2,72.7615,0.02011255605226816,0.3605999999999985,0.050036758996916356,6914.346246185339,0.8633847586364609
ft_sg,1234,25,0.05,2,12.549309664694281,uniform,50,14.387699066447002,13.308341143392688,10.299999999999997,9.802073515551369,71.59,68.5338,65.9794,85.6,74.3638,0.023498833909233498,0.3659999999999983,0.070747844217376,7903.319195476143,0.7991027816727325
ft_sg,1235,25,0.05,2,12.69723865877712,uniform,50,15.760571114772103,12.558575445173382,7.799999999999995,8.57681432610744,67.03,67.9297,65.2296,85.0,72.95,0.023243963419642036,0.36659999999999837,0.06494192417047395,7711.662475823829,0.8117057028306607
ft_sg,1236,25,0.05,2,11.945266272189349,uniform,50,13.673805601317957,13.964386129334583,9.199999999999998,7.163053722902923,71.17,66.06259999999999,64.105,84.6,72.47879999999999,0.01409802555039727,0.495400000000001,0.03821554002532221,6019.768553355695,0.8881678552826469
ft_sg,1234,25,0.05,4,9.085305719921106,uniform,100,12.410763316858864,10.402999062792873,7.199999999999996,8.294062205466545,74.45,69.5772,65.8857,86.5,78.0396,0.006922554842683003,0.5654000000000018,0.031953222782560395,5140.262417711924,0.8966947831681003
ft_sg,1235,25,0.05,4,8.875739644970414,uniform,100,14.71718835804503,12.558575445173382,6.2999999999999945,7.728557964184734,72.18,69.9066,68.3224,85.8,75.9661,0.006346655731404384,0.5666000000000003,0.029290765809952005,5154.997404708167,0.9030613221350428
ft_sg,1236,25,0.05,4,7.6923076923076925,uniform,100,10.378912685337728,12.183692596063732,7.099999999999995,6.409048067860512,72.81,69.9616,66.91659999999999,85.5,77.3798,0.004952019462355907,0.6264000000000006,0.01750874755689036,4104.374073725744,0.9444006677455719
ft_sg,1234,25,0.05,8,7.347140039447732,uniform,200,6.699615595826469,8.341143392689787,5.800000000000005,4.806786050895385,74.52,70.1812,67.3852,85.1,78.5108,0.0015949307040270765,0.7951999999999959,0.013122096549006732,3502.8115395306527,0.9442825382922851
